ID,Run,Primer,Name,Replicate
SF-T#1,1505,7,PB_19d,1
SF-T#1,1505,22,PB_41d,1
SF-T#1,1505,36,PB_83d,1
SF-T#1,1505,49,preTX_0d,1
SF-T#1,1505,90,PB_19d,2
SF-T#1,1505,94,PB_41d,2
SF-T#1,1505,98,PB_83d,2
SF-T#1,1507,1,PB_175d,1
SF-T#1,1507,14,BM_175d,1
SF-T#1,1507,30,PB_175d,2
SF-T#1,1507,43,BM_175d,2
SF-T#2,1505,8,PB_19d,1
SF-T#2,1505,23,PB_41d,1
SF-T#2,1505,37,PB_83d,1
SF-T#2,1505,50,preTX_0d,1
SF-T#2,1505,70,PB_19d,2
SF-T#2,1505,71,PB_19d,3
SF-T#2,1505,76,PB_41d,2
SF-T#2,1505,77,PB_41d,3
SF-T#2,1505,82,PB_83d,2
SF-T#2,1505,83,PB_83d,3
SF-T#2,1507,2,PB_175d,1
SF-T#2,1507,15,BM_175d,1
SF-T#2,1507,31,PB_175d,2
SF-T#2,1507,44,BM_175d,2
SF-T#2,1507,56,PB-T_175d,1
SF-T#2,1507,57,PB-T_175d,2
SF-T#2,1507,58,PB-T_175d,3
SF-T#2,1507,59,PB-Gr_175d,1
SF-T#2,1507,60,PB-Gr_175d,2
SF-T#2,1507,61,PB-Gr_175d,3
SF-T#3,1505,9,PB_19d,1
SF-T#3,1505,24,PB_41d,1
SF-T#3,1505,38,PB_83d,1
SF-T#3,1505,51,preTX_0d,1
SF-T#3,1507,3,PB_175d,1
SF-T#3,1507,16,BM_175d,1
SF-T#3,1507,32,PB_175d,2
SF-T#3,1507,45,BM_175d,2
SF-T#4,1505,10,PB_19d,1
SF-T#4,1505,25,PB_41d,1
SF-T#4,1505,39,PB_83d,1
SF-T#4,1505,52,preTX_0d,1
SF-T#4,1507,4,PB_175d,1
SF-T#4,1507,17,BM_175d,1
SF-T#4,1507,33,PB_175d,2
SF-T#4,1507,46,BM_175d,2
SF-T#5,1505,11,PB_19d,1
SF-T#5,1505,26,PB_41d,1
SF-T#5,1505,40,PB_83d,1
SF-T#5,1505,53,preTX_0d,1
SF-T#5,1505,91,PB_19d,2
SF-T#5,1505,95,PB_41d,2
SF-T#5,1505,99,PB_83d,2
SF-T#5,1507,5,PB_175d,1
SF-T#5,1507,18,BM_175d,1
SF-T#5,1507,34,PB_175d,2
SF-T#5,1507,47,BM_175d,2
SF-T#5,1507,62,PB-T_175d,1
SF-T#5,1507,63,PB-T_175d,2
SF-T#5,1507,64,PB-T_175d,3
SF-T#5,1507,65,PB-Gr_175d,1
SF-T#5,1507,66,PB-Gr_175d,2
SF-T#5,1507,67,PB-Gr_175d,3
SF-3#1,1505,12,PB_19d,1
SF-3#1,1505,27,PB_41d,1
SF-3#1,1505,41,PB_83d,1
SF-3#1,1505,54,preTX_0d,1
SF-3#1,1505,88,preTX_0d,2
SF-3#1,1505,89,preTX_0d,3
SF-3#1,1507,6,PB_175d,1
SF-3#1,1507,19,BM_175d,1
SF-3#1,1507,35,PB_175d,2
SF-3#1,1507,48,BM_175d,2
SF-3#1,1507,68,PB-T_175d,1
SF-3#1,1507,69,PB-T_175d,2
SF-3#1,1507,70,PB-T_175d,3
SF-3#1,1507,71,PB-Gr_175d,1
SF-3#1,1507,72,PB-Gr_175d,2
SF-3#1,1507,73,PB-Gr_175d,3
SF-3#2,1505,13,PB_19d,1
SF-3#2,1505,28,PB_41d,1
SF-3#2,1505,42,PB_83d,1
SF-3#2,1505,55,preTX_0d,1
SF-3#2,1505,72,PB_19d,2
SF-3#2,1505,73,PB_19d,3
SF-3#2,1505,78,PB_41d,2
SF-3#2,1505,79,PB_41d,3
SF-3#2,1505,84,PB_83d,2
SF-3#2,1505,85,PB_83d,3
SF-3#2,1507,7,PB_175d,1
SF-3#2,1507,20,BM_175d,1
SF-3#2,1507,36,PB_175d,2
SF-3#2,1507,49,BM_175d,2
SF-3#3,1505,14,PB_19d,1
SF-3#3,1505,29,PB_41d,1
SF-3#3,1505,43,PB_83d,1
SF-3#3,1505,56,preTX_0d,1
SF-3#3,1505,92,PB_19d,2
SF-3#3,1505,96,PB_41d,2
SF-3#3,1505,100,PB_83d,2
SF-3#3,1507,8,PB_175d,1
SF-3#3,1507,21,BM_175d,1
SF-3#3,1507,37,PB_175d,2
SF-3#3,1507,50,BM_175d,2
SF-3#3,1507,74,PB-T_175d,1
SF-3#3,1507,75,PB-T_175d,2
SF-3#3,1507,76,PB-T_175d,3
SF-3#3,1507,77,PB-Gr_175d,1
SF-3#3,1507,78,PB-Gr_175d,2
SF-3#3,1507,79,PB-Gr_175d,3
SF-3#4,1505,15,PB_19d,1
SF-3#4,1505,30,PB_41d,1
SF-3#4,1505,44,PB_83d,1
SF-3#4,1505,57,preTX_0d,1
SF-3#4,1507,9,PB_175d,1
SF-3#4,1507,22,BM_175d,1
SF-3#4,1507,38,PB_175d,2
SF-3#4,1507,51,BM_175d,2
SF-3#5,1505,16,PB_19d,1
SF-3#5,1505,31,PB_41d,1
SF-3#5,1505,45,PB_83d,1
SF-3#5,1505,58,preTX_0d,1
SF-3#5,1507,10,PB_175d,1
SF-3#5,1507,23,BM_175d,1
SF-3#5,1507,39,PB_175d,2
SF-3#5,1507,52,BM_175d,2
SF-3T#1,1505,17,PB_19d,1
SF-3T#1,1505,32,PB_41d,1
SF-3T#1,1505,59,preTX_0d,1
SF-3T#1,1505,93,PB_19d,2
SF-3T#1,1505,97,PB_41d,2
SF-3T#2,1505,18,PB_19d,1
SF-3T#2,1505,60,preTX_0d,1
SF-3T#3,1505,19,PB_19d,1
SF-3T#3,1505,33,PB_41d,1
SF-3T#3,1505,46,PB_83d,1
SF-3T#3,1505,61,preTX_0d,1
SF-3T#3,1507,11,PB_175d,1
SF-3T#3,1507,24,BM_175d,1
SF-3T#3,1507,40,PB_175d,2
SF-3T#3,1507,53,BM_175d,2
SF-3T#3,1507,80,PB-T_175d,1
SF-3T#3,1507,81,PB-T_175d,2
SF-3T#3,1507,82,PB-T_175d,3
SF-3T#4,1505,20,PB_19d,1
SF-3T#4,1505,34,PB_41d,1
SF-3T#4,1505,47,PB_83d,1
SF-3T#4,1505,62,preTX_0d,1
SF-3T#4,1505,74,PB_19d,2
SF-3T#4,1505,75,PB_19d,3
SF-3T#4,1505,80,PB_41d,2
SF-3T#4,1505,81,PB_41d,3
SF-3T#4,1505,86,PB_83d,2
SF-3T#4,1505,87,PB_83d,3
SF-3T#4,1507,12,PB_175d,1
SF-3T#4,1507,25,BM_175d,1
SF-3T#4,1507,41,PB_175d,2
SF-3T#4,1507,54,BM_175d,2
SF-3T#5,1505,21,PB_19d,1
SF-3T#5,1505,35,PB_41d,1
SF-3T#5,1505,48,PB_83d,1
SF-3T#5,1505,63,preTX_0d,1
SF-3T#5,1507,13,PB_175d,1
SF-3T#5,1507,26,BM_175d,1
SF-3T#5,1507,42,PB_175d,2
SF-3T#5,1507,55,BM_175d,2
preTX_SF-T,1505,4,preTX_SFT,1
preTX_SF-T,1505,64,preTX_SFT,2
preTX_SF-T,1505,65,preTX_SFT,3
preTX_SF-3,1505,5,preTX_SF3,1
preTX_SF-3,1505,66,preTX_SF3,2
preTX_SF-3,1505,67,preTX_SF3,3
preTX_SF-3T,1505,6,preTX_SF3T,1
preTX_SF-3T,1505,68,preTX_SF3T,2
preTX_SF-3T,1505,69,preTX_SF3T,3
