ID,Run,Primer,Name,Replicate
preTX_SF-T,1509,1,preTX_SFT,1
preTX_SF-T,1509,51,preTX_SFT,2
preTX_SF-T,1509,70,preTX_SFT,3
preTX_SF-3,1509,2,preTX_SF3,1
preTX_SF-3,1509,52,preTX_SF3,2
preTX_SF-3,1509,71,preTX_SF3,3
preTX_SF-3T,1509,3,preTX_SF3T,1
preTX_SF-3T,1509,53,preTX_SF3T,2
preTX_SF-3T,1509,72,preTX_SF3T,3
SF-T#1,1509,21,PB_12w,1
SF-T#1,1509,35,BM_12w,1
SF-T#1,1509,54,BM_12w,2
SF-T#1,1509,73,BM_12w,3
SF-T#2,1509,5,PB_3w,1
SF-T#2,1509,22,PB_12w,1
SF-T#2,1509,36,BM_12w,1
SF-T#2,1509,55,BM_12w,2
SF-T#2,1509,74,BM_12w,3
SF-T#3,1509,6,PB_3w,1
SF-T#3,1509,37,BM_12w,1
SF-T#3,1509,56,BM_12w,2
SF-T#3,1509,75,BM_12w,3
SF-T#4,1509,38,BM_12w,1
SF-T#4,1509,57,BM_12w,2
SF-T#4,1509,76,BM_12w,3
SF-T#5,1509,8,PB_3w,1
SF-T#6,1509,9,PB_3w,1
SF-T#6,1509,40,BM_12w,1
SF-T#6,1509,59,BM_12w,2
SF-T#6,1509,78,BM_12w,3
SF-3#1,1509,10,PB_3w,1
SF-3#1,1509,41,BM_12w,1
SF-3#1,1509,60,BM_12w,2
SF-3#1,1509,79,BM_12w,3
SF-3#2,1509,11,PB_3w,1
SF-3#2,1509,42,BM_12w,1
SF-3#2,1509,61,BM_12w,2
SF-3#2,1509,80,BM_12w,3
SF-3#3,1509,43,BM_12w,1
SF-3#3,1509,62,BM_12w,2
SF-3#3,1509,81,BM_12w,3
SF-3#4,1509,13,PB_3w,1
SF-3#4,1509,44,BM_12w,1
SF-3#4,1509,63,BM_12w,2
SF-3#4,1509,82,BM_12w,3
SF-3#5,1509,14,PB_3w,1
SF-3#5,1509,45,BM_12w,1
SF-3#5,1509,64,BM_12w,2
SF-3#5,1509,83,BM_12w,3
SF-3#6,1509,15,PB_3w,1
SF-3#6,1509,32,PB_12w,1
SF-3#6,1509,46,BM_12w,1
SF-3#6,1509,65,BM_12w,2
SF-3#6,1509,84,BM_12w,3
SF-3T#3,1509,18,PB_3w,1
SF-3T#3,1509,67,BM_12w,1
SF-3T#3,1509,86,BM_12w,2
SF-3T#5,1509,33,PB_12w,1
SF-3T#5,1509,49,BM_12w,1
SF-3T#5,1509,68,BM_12w,2
SF-3T#5,1509,87,BM_12w,3
SF-3T#6,1509,34,PB_12w,1
SF-3T#6,1509,50,BM_12w,1
SF-3T#6,1509,69,BM_12w,2
SF-3T#6,1509,88,BM_12w,3
